#
#     Data from population synthesis for run4
#
# By Ylva Gotberg, 2023-10-03
#
# Initial conditions:
#   Using the single star models from /home/adesai/snap/firefox/common/Downloads/evolutionary_tracks/grid_006_single_star/ to determine the radii of donors at different evolutionary stages
#   This means that we assume metallicity, Z=0.006
#   Using the lifetimes of stars from single star models in/home/adesai/snap/firefox/common/Downloads/evolutionary_tracks/grid_006_single_star/
#   IMF: Kroupa, M_min = 0.1 Msun, M_max = 100.0 Msun 
# We assume the star-formation type: starburst, with a total mass of stars of 1000000.0 Msun
# This file contains the information about the stars that are present in the population after 10000000.0 years
#   fbin:moe
#   q distribution: flat, 0.1 < q < 1.0
#   P distribution: Sana+12 for M1>15 Msun and Opik24 for M1<15 Msun
#
# Physical assumptions:
#   Critical mass ratio for the donor main sequence, q_crit_MS=0.65
#   Critical mass ratio for the donor Hertzsprung gap, q_crit_HG=0.4
#   Using the alpha-prescription for common envelope evolution
#   alpha_CE = 1.0, lambda_CE = 0.5
#   Using the binary star models from /home/adesai/snap/firefox/common/Downloads/evolutionary_tracks/grid_006/ to determine the masses and radii of stripped stars
#   Stripped stars can only be formed from donor stars with 2.0 < M1init/Msun < 100.0
#   Actually, we assume that binary interaction only can occur in the above mass range.
#   For stripped stars we set the total lifetime to tau_MS+tau_strip, where the duration of the stripped phases (tau_strip) come from the binary models in/home/adesai/snap/firefox/common/Downloads/evolutionary_tracks/grid_006/
#   Mass transfer efficiency is set to beta_MS = 1.0, beta_HG = 0.0, beta_HG_CEE = 0.0
#   For mergers, we assume that their final mass is M1init+M2init
#   The final period is set by the treatment of angular momentum during interaction, we ignore the effect of wind mass loss on the period.
#   We use the isotropic_reemission setting for the treatment of angular momentum.
#   For common envelope, the period is set in the alpha prescription
#   Rejuvenation of mass gainers and MSMS mergers is set by Tout97
#   HGMS mergers are not rejuvenated, but their lifetimes are adapted to the new mass
#
# Even though the full population synthesis accounts for the full mass range from 0.1 to 100.0 Msun, 
# I will only keep the stars with initial masses (Minit or M1init) between 2.0 and 100.0 Msun.
# I am ignoring single stars that died and binaries in which at least the primary died.
# I show dead secondaries as long as the primary is still alive
# For the star state: 1 - main-sequence star, 2 - stripped star, 3 - post main-sequence star, 4 - compact object, 51 - merger product in MS stage.
# In this output, we only output the stripped star systems.
#
# Star_ID 	 Star_state_m1 	 Star_state_m2 	 Evolution 	 M1init 	 M2init 	 Pinit 	 Pcurrent 	 log_Teff_1 	 log_Teff_2 	 log_L_1 	 log_L_2 	 center_he4_1 	 center_he4_2 	 center_h1_1 	 center_h1_2 	 log_Lnuc_1 	 log_Lnuc_2 	 he_core_mass_1 	 he_core_mass_2 	 log_R_1 	 log_R_2 	 star_age_1 	 star_age_2 	 log_g_1 	 log_g_2 	 star_mass_1 	 star_mass_2 	 surface_n14_1 	 surface_n14_2 	 surface_c12_1 	 surface_c12_2 	 surface_o16_1 	 surface_o16_2 	 surf_avg_v_rot_1 	 surf_avg_v_rot_2 	 surface_h1_1 	 surface_h1_2 	 surface_he4_1 	 surface_he4_2 	 log_abs_mdot_1 	 log_abs_mdot_2
24183	2	1	strip_RLOF_MS	   19.83808	   14.23555	    2.01909	    9.75377 	    4.75665 	    4.48920 	    5.14707 	    4.32360 	    0.84430 	    0.40280 	    0.00000 	    0.59137 	    5.14649 	    4.32388 	    7.29498 	    0.00000 	    0.58350 	    0.70666 	 9700811.16298 	 5374576.99054 	    4.19500 	    4.17694 	    8.27785 	   14.22030 	    0.00333 	    0.00030 	    0.00010 	    0.00102 	    0.00055 	    0.00280 	    3.03625 	    0.00000 	    0.37652 	    0.74200 	    0.61760 	    0.25197 	   -5.82352 	   -8.48540
26737	2	1	strip_RLOF_HG	   19.66526	   10.10080	  590.67831	 1048.97425 	    4.25379 	    4.42156 	    5.20900 	    3.89224 	    0.97856 	    0.41444 	   -0.00000 	    0.57972 	    5.20250 	    3.89254 	    6.83496 	    0.00000 	    1.62018 	    0.62627 	 9768175.78930 	 10035118.63527 	    2.12269 	    4.18913 	    8.31780 	   10.09311 	    0.00321 	    0.00030 	    0.00012 	    0.00102 	    0.00067 	    0.00280 	    4.53392 	    0.00000 	    0.39931 	    0.74200 	    0.59480 	    0.25197 	   -5.76562 	   -9.51929
26807	2	1	strip_RLOF_HG	   20.98574	   19.45943	    9.09410	   62.45469 	    5.08424 	    4.38392 	    5.16696 	    5.03330 	    0.05899 	    0.96385 	    0.00000 	    0.03032 	    5.16255 	    5.03338 	    8.03627 	    0.00000 	   -0.06174 	    1.27206 	 9179188.96862 	 10025528.63789 	    5.47889 	    3.17534 	    8.03627 	   19.14317 	    0.00381 	    0.00030 	    0.00005 	    0.00102 	    0.00009 	    0.00280 	    0.57018 	    0.00000 	    0.00464 	    0.74200 	    0.98953 	    0.25197 	   -5.45995 	   -6.28478
32922	2	-3	strip_RLOF_HG	   20.86958	   20.11415	   11.35146	   83.45117 	    5.03547 	    3.55849 	    5.15529 	    5.15732 	    0.11467 	    0.68553 	    0.00000 	    0.00000 	    5.15298 	    5.15700 	    7.99964 	    7.45877 	    0.02996 	    2.98494 	 9236202.63858 	 9993236.41472 	    5.29951 	   -0.28115 	    8.12102 	   17.82143 	    0.00381 	    0.00098 	    0.00004 	    0.00075 	    0.00011 	    0.00237 	    0.45181 	    0.00000 	    0.17753 	    0.69437 	    0.81664 	    0.29962 	   -5.61551 	   -5.00498
64978	2	1	strip_RLOF_HG	   19.91348	   11.87051	    8.43896	   23.45993 	    4.82519 	    4.44897 	    5.12368 	    4.15109 	    0.78620 	    0.48165 	    0.00000 	    0.51251 	    5.12329 	    4.15141 	    7.41139 	    0.00000 	    0.43472 	    0.70087 	 9670310.04953 	 10045550.06903 	    4.49233 	    4.10973 	    8.26569 	   11.85745 	    0.00337 	    0.00030 	    0.00009 	    0.00102 	    0.00052 	    0.00280 	    2.80800 	    0.00000 	    0.36546 	    0.74200 	    0.62867 	    0.25197 	   -5.84172 	   -8.91598
79178	2	1	strip_RLOF_HG	   19.83940	   11.64522	  208.32067	  556.19933 	    4.75661 	    4.44591 	    5.14715 	    4.11941 	    0.84430 	    0.47240 	    0.00000 	    0.52177 	    5.14657 	    4.11972 	    7.29556 	    0.00000 	    0.58361 	    0.69115 	 9699660.73625 	 10059505.05893 	    4.19483 	    4.12076 	    8.27854 	   11.63312 	    0.00333 	    0.00030 	    0.00010 	    0.00102 	    0.00055 	    0.00280 	    3.03595 	    0.00000 	    0.37655 	    0.74200 	    0.61757 	    0.25197 	   -5.82345 	   -8.98807
92059	2	1	strip_RLOF_HG	   19.98079	    9.07344	    7.99020	    8.97216 	    4.86511 	    4.40141 	    5.09896 	    3.72538 	    0.73376 	    0.38123 	    0.00000 	    0.61292 	    5.09881 	    3.72567 	    7.49159 	    0.00000 	    0.34252 	    0.58314 	 9643211.32610 	 10020481.46532 	    4.67660 	    4.22937 	    8.25679 	    9.07634 	    0.00342 	    0.00030 	    0.00009 	    0.00102 	    0.00047 	    0.00280 	    2.92464 	    0.00000 	    0.34947 	    0.74200 	    0.64466 	    0.25197 	   -5.85574 	   -9.92908
96097	2	1	strip_RLOF_HG	   20.19469	   13.74028	   60.83019	  235.32580 	    4.91111 	    4.46760 	    5.06405 	    4.39454 	    0.56960 	    0.56665 	    0.00000 	    0.42752 	    5.06435 	    4.39489 	    7.66512 	    0.00000 	    0.23307 	    0.78532 	 9551999.67147 	 10023924.97824 	    4.89582 	    4.00402 	    8.24192 	   13.71301 	    0.00349 	    0.00030 	    0.00007 	    0.00102 	    0.00041 	    0.00280 	    1.86926 	    0.00000 	    0.33457 	    0.74200 	    0.65957 	    0.25197 	   -5.88926 	   -8.38750
98111	2	1	strip_RLOF_MS	   19.68624	   18.22016	    5.04607	   33.55525 	    4.39166 	    4.52347 	    5.19931 	    4.69217 	    0.96234 	    0.50950 	    0.00000 	    0.48467 	    5.19667 	    4.69248 	    6.92191 	    0.00000 	    1.33960 	    0.82241 	 9760156.29046 	 5825182.78779 	    2.68366 	    4.05176 	    8.31171 	   18.14461 	    0.00322 	    0.00030 	    0.00011 	    0.00102 	    0.00066 	    0.00280 	    2.79631 	    0.00000 	    0.40082 	    0.74200 	    0.59329 	    0.25197 	   -5.78530 	   -7.71106
100757	2	1	strip_RLOF_HG	   20.94979	   17.17504	   19.02251	  105.36921 	    5.07643 	    4.46177 	    5.16398 	    4.78771 	    0.07478 	    0.77129 	    0.00000 	    0.22288 	    5.16032 	    4.78819 	    8.03493 	    0.00000 	   -0.04761 	    0.99358 	 9197205.74304 	 10032569.56407 	    5.45211 	    3.68183 	    8.06650 	   17.04533 	    0.00382 	    0.00030 	    0.00004 	    0.00102 	    0.00010 	    0.00280 	    0.69976 	    0.00000 	    0.03235 	    0.74200 	    0.96182 	    0.25197 	   -5.48486 	   -7.67020
