#
#     Data from population synthesis for run4
#
# By Ylva Gotberg, 2023-10-03
#
# Initial conditions:
#   Using the single star models from /home/adesai/snap/firefox/common/Downloads/evolutionary_tracks/grid_006_single_star/ to determine the radii of donors at different evolutionary stages
#   This means that we assume metallicity, Z=0.006
#   Using the lifetimes of stars from single star models in/home/adesai/snap/firefox/common/Downloads/evolutionary_tracks/grid_006_single_star/
#   IMF: Kroupa, M_min = 0.1 Msun, M_max = 100.0 Msun 
# We assume the star-formation type: starburst, with a total mass of stars of 1000000.0 Msun
# This file contains the information about the stars that are present in the population after 30000000.0 years
#   fbin:moe
#   q distribution: flat, 0.1 < q < 1.0
#   P distribution: Sana+12 for M1>15 Msun and Opik24 for M1<15 Msun
#
# Physical assumptions:
#   Critical mass ratio for the donor main sequence, q_crit_MS=0.65
#   Critical mass ratio for the donor Hertzsprung gap, q_crit_HG=0.4
#   Using the alpha-prescription for common envelope evolution
#   alpha_CE = 1.0, lambda_CE = 0.5
#   Using the binary star models from /home/adesai/snap/firefox/common/Downloads/evolutionary_tracks/grid_006/ to determine the masses and radii of stripped stars
#   Stripped stars can only be formed from donor stars with 2.0 < M1init/Msun < 100.0
#   Actually, we assume that binary interaction only can occur in the above mass range.
#   For stripped stars we set the total lifetime to tau_MS+tau_strip, where the duration of the stripped phases (tau_strip) come from the binary models in/home/adesai/snap/firefox/common/Downloads/evolutionary_tracks/grid_006/
#   Mass transfer efficiency is set to beta_MS = 1.0, beta_HG = 0.0, beta_HG_CEE = 0.0
#   For mergers, we assume that their final mass is M1init+M2init
#   The final period is set by the treatment of angular momentum during interaction, we ignore the effect of wind mass loss on the period.
#   We use the isotropic_reemission setting for the treatment of angular momentum.
#   For common envelope, the period is set in the alpha prescription
#   Rejuvenation of mass gainers and MSMS mergers is set by Tout97
#   HGMS mergers are not rejuvenated, but their lifetimes are adapted to the new mass
#
# Even though the full population synthesis accounts for the full mass range from 0.1 to 100.0 Msun, 
# I will only keep the stars with initial masses (Minit or M1init) between 2.0 and 100.0 Msun.
# I am ignoring single stars that died and binaries in which at least the primary died.
# I show dead secondaries as long as the primary is still alive
# For the star state: 1 - main-sequence star, 2 - stripped star, 3 - post main-sequence star, 4 - compact object, 51 - merger product in MS stage.
# In this output, we only output the stripped star systems.
#
# Star_ID 	 Star_state_m1 	 Star_state_m2 	 Evolution 	 M1init 	 M2init 	 Pinit 	 Pcurrent 	 log_Teff_1 	 log_Teff_2 	 log_L_1 	 log_L_2 	 center_he4_1 	 center_he4_2 	 center_h1_1 	 center_h1_2 	 log_Lnuc_1 	 log_Lnuc_2 	 he_core_mass_1 	 he_core_mass_2 	 log_R_1 	 log_R_2 	 star_age_1 	 star_age_2 	 log_g_1 	 log_g_2 	 star_mass_1 	 star_mass_2 	 surface_n14_1 	 surface_n14_2 	 surface_c12_1 	 surface_c12_2 	 surface_o16_1 	 surface_o16_2 	 surf_avg_v_rot_1 	 surf_avg_v_rot_2 	 surface_h1_1 	 surface_h1_2 	 surface_he4_1 	 surface_he4_2 	 log_abs_mdot_1 	 log_abs_mdot_2
311	2	1	strip_RLOF_HG	    9.52517	    8.08555	  198.20555	 1514.11116 	    4.82271 	    4.34247 	    3.98092 	    3.76394 	    0.36997 	    0.67363 	    0.00000 	    0.32053 	    3.98073 	    3.76438 	    2.72465 	    0.00000 	   -0.13169 	    0.72029 	 29721993.50093 	 30054121.59874 	    5.16422 	    3.90274 	    2.91070 	    8.04614 	    0.00386 	    0.00030 	    0.00004 	    0.00102 	    0.00014 	    0.00280 	    2.83095 	    0.00000 	    0.27937 	    0.74200 	    0.71469 	    0.25197 	   -7.22752 	   -8.63243
2606	2	1	strip_RLOF_MS	    9.47814	    7.09097	    1.03323	    6.46439 	    4.81756 	    4.34571 	    3.95133 	    3.39570 	    0.50167 	    0.40110 	    0.00000 	    0.59306 	    3.95196 	    3.39599 	    2.70174 	    0.00000 	   -0.13619 	    0.52969 	 29667257.99415 	 18495790.29820 	    5.17234 	    4.22835 	    2.90507 	    7.08536 	    0.00388 	    0.00030 	    0.00004 	    0.00102 	    0.00014 	    0.00280 	    3.36364 	    0.00000 	    0.28379 	    0.74200 	    0.71025 	    0.25197 	   -7.26838 	   -9.36880
8723	2	1	strip_RLOF_HG	    9.37232	    4.94250	   10.92706	   24.88000 	    4.80592 	    4.26407 	    3.98339 	    2.84388 	    0.79187 	    0.36032 	    0.00000 	    0.63381 	    3.98345 	    2.84419 	    2.62804 	    0.00000 	   -0.09689 	    0.41706 	 29535308.44807 	 30041611.70655 	    5.09137 	    4.29786 	    2.88909 	    4.94484 	    0.00389 	    0.00016 	    0.00004 	    0.00060 	    0.00014 	    0.00119 	    4.84586 	    0.00000 	    0.29488 	    0.81713 	    0.69913 	    0.18052 	   -7.22982 	  -10.73653
26291	2	1	strip_CEE_HG	    9.42800	    2.19098	  789.18463	    1.46073 	    4.81339 	    4.05711 	    3.93480 	    1.50356 	    0.64138 	    0.26758 	    0.00000 	    0.72628 	    3.93531 	    1.50407 	    2.67295 	    0.00000 	   -0.13612 	    0.16083 	 29607173.98115 	 30475822.87192 	    5.17107 	    4.45689 	    2.89752 	    2.19191 	    0.00386 	    0.00001 	    0.00004 	    0.00001 	    0.00014 	    0.00002 	    4.01676 	    0.00000 	    0.29291 	    0.99091 	    0.70115 	    0.00905 	   -7.30042 	  -14.36237
39644	2	1	strip_RLOF_HG	    9.37583	    4.27967	   58.15061	   77.82779 	    4.80692 	    4.23028 	    3.97448 	    2.60013 	    0.78216 	    0.32744 	    0.00000 	    0.66666 	    3.97462 	    2.60045 	    2.63198 	    0.00000 	   -0.10335 	    0.36277 	 29540697.87249 	 30303552.96139 	    5.10434 	    4.34316 	    2.88949 	    4.27904 	    0.00389 	    0.00014 	    0.00004 	    0.00053 	    0.00014 	    0.00094 	    4.80256 	    0.00000 	    0.29502 	    0.83587 	    0.69900 	    0.16222 	   -7.24100 	  -11.27192
39850	2	1	strip_RLOF_HG	    9.41706	    5.59777	  312.15788	 1032.10490 	    4.81247 	    4.29105 	    3.93532 	    3.05552 	    0.67144 	    0.40031 	    0.00000 	    0.59384 	    3.93582 	    3.05581 	    2.66609 	    0.00000 	   -0.13402 	    0.46891 	 29593865.82854 	 30148247.16022 	    5.16659 	    4.24770 	    2.89574 	    5.59821 	    0.00386 	    0.00023 	    0.00004 	    0.00080 	    0.00014 	    0.00194 	    4.31476 	    0.00000 	    0.29390 	    0.78024 	    0.70015 	    0.21577 	   -7.29824 	  -10.17080
41202	2	1	strip_RLOF_HG	    9.38344	    8.72230	    6.00150	   54.78684 	    4.80847 	    4.32676 	    3.96059 	    3.95227 	    0.76292 	    0.80869 	    0.00000 	    0.18548 	    3.96086 	    3.95284 	    2.63948 	    0.00000 	   -0.11339 	    0.84587 	 29548986.28841 	 30193077.43353 	    5.12459 	    3.68382 	    2.89061 	    8.67259 	    0.00388 	    0.00030 	    0.00004 	    0.00102 	    0.00014 	    0.00280 	    4.61893 	    0.00000 	    0.29537 	    0.74200 	    0.69867 	    0.25197 	   -7.25990 	   -8.27611
48822	2	1	strip_CEE_HG	    9.45574	    2.33263	  317.53873	    0.62871 	    4.81558 	    4.07517 	    3.94120 	    1.60698 	    0.56411 	    0.26961 	    0.00000 	    0.72427 	    3.94114 	    1.60752 	    2.68920 	    0.00000 	   -0.13730 	    0.17641 	 29640821.79954 	 30105997.28853 	    5.17408 	    4.45288 	    2.90186 	    2.33540 	    0.00388 	    0.00004 	    0.00004 	    0.00015 	    0.00014 	    0.00032 	    3.78190 	    0.00000 	    0.28571 	    0.95052 	    0.70832 	    0.04888 	   -7.28250 	  -13.96725
69269	2	-3	strip_CEE_HG	    9.62507	    9.41333	  606.49496	    4.80867 	    4.84496 	    3.56179 	    4.05890 	    4.38157 	    0.11418 	    0.77760 	    0.00000 	    0.00000 	    4.05668 	    4.38002 	    2.76835 	    2.82012 	   -0.13721 	    2.59046 	 29825349.61649 	 30155869.98429 	    5.17622 	    0.21326 	    2.91636 	    9.05210 	    0.00386 	    0.00091 	    0.00003 	    0.00068 	    0.00013 	    0.00253 	    2.12275 	    0.00000 	    0.26563 	    0.72713 	    0.72846 	    0.26682 	   -7.11503 	   -6.37501
72219	2	1	strip_CEE_HG	    9.34210	    8.44292	  742.01695	    5.34346 	    4.77807 	    4.33742 	    4.13034 	    3.86620 	    0.86811 	    0.74254 	    0.00000 	    0.25163 	    4.12912 	    3.86670 	    2.57812 	    0.00000 	    0.03229 	    0.78153 	 29493024.15548 	 30169538.82032 	    4.83280 	    3.79855 	    2.88754 	    8.39895 	    0.00391 	    0.00030 	    0.00004 	    0.00102 	    0.00014 	    0.00280 	    4.84198 	    0.00000 	    0.29696 	    0.74200 	    0.69703 	    0.25197 	   -7.04021 	   -8.43628
